id,c1_high,c2_high,c3_high,c4_high,water_diff
588,99.9,99.9,99.9,99.9,56.41803
589,99.9,99.9,99.9,99.9,56.41803
590,4.9,7.2,13.4,17.7,-9.03258
591,4.9,7.2,13.4,17.7,-9.03258
592,5.9,9.4,13.1,17.6,-5.6265
593,5.9,9.4,13.1,17.6,-5.6265
594,99.9,99.9,9.9,14.9,-1.49035
595,99.9,99.9,9.9,14.9,-1.49035
596,2.3,4.1,13.7,18.2,-4.71136
597,99.9,0.8,10.4,14.9,2.50805
598,99.9,0.8,10.4,14.9,2.50805
599,99.9,0.8,10.4,14.9,2.50805
